,Unnamed: 0.1,Unnamed: 0,scene_idx,pic_idx,file,cap0,cap1,cap2,cap3,cap4,cap5,train_cap,CIDEr,informative
0,4,4,0,2,Scene0_2.png,The boy kicks the soccer ball to the girl.,The girl is sad because the boy is mad.,The boy is near an apple tree.,The sun is partly behind a tree.,The boy is angrily kicking the soccer ball.,The girl is crying as she plays with the boy.,kids playing soccer in the park illustration.,0.09122475885158797,1.0
1,6,6,0,0,Scene0_0.png,The girl is upset because the boy isn't sharing the soccer ball.,The boy is wearing sunglasses.,The girl is wearing a silly hat.,The boy is kicking the soccer ball away from the girl.,The girl is chasing the boy to get the ball.,The girl is wearing a silly hat.,funny family running on the green grass.,1.0809253239528125e-06,1.0
2,9,9,0,3,Scene0_3.png,The ball is up in the air.,The boy is wearing a crown.,The boy is wearing sunglasses.,The boy has a gold crown.,The soccer ball is high in the air.,The girl is scared of the lightning.,boy and girl playing football on the football field.,0.00035476472241564595,1.0
3,30,30,340,1,Scene340_1.png,The boy is bringing the bear pizza.,The bear is wearing a hat.,The boy did not expect a bear.,The bear scared the boy.,The boy is holding a pizza.,The bear is wearing a hat.,boy and a bear in the park illustration.,0.2586320332161789,1.0
4,32,32,340,5,Scene340_5.png,The plane is coming in for a landing.,The bear wants the boy's pizza.,The boy will share his pizza with the bear.,The boy is very happy.,The boy is holding a pizza.,The boy is near a bear.,family on the plane with hamburger.,0.06415876313925553,1.0
5,35,35,340,9,Scene340_9.png,The girl is wearing glasses as she plays.,The boy offers to share his pizza with a bear.,The bear is very eager to try the pizza.,The boy is giving the bear a pizza.,The girl is wearing purple sunglasses.,The girl is running away from the bear.,family holding hands and walking in the park vector art illustration.,4.5421617047083875e-07,1.0
6,100,100,274,1,Scene274_1.png,The boy is sitting next to a duck.,The girl has a viking helmet on.,The boy is holding a baseball bat.,The boy is holding a baseball bat.,A duck is near the boy.,The girl has a hat with horns on it.,happy family running on the lawn.,0.00794041767140929,1.0
7,103,103,274,8,Scene274_8.png,The boy likes his new sunglasses.,The girl is very angry.,The boy is sitting on the ground.,The boy is wearing sunglasses.,The girl kicks the toy.,Hot dogs are on the grill.,children playing in the garden illustration.,7.02385248415757e-07,0.0
8,104,104,274,2,Scene274_2.png,The girl kicks the bee read.,The boy sits with a frown on his face.,A balloon floats away from lightning.,The girl is very angry.,The boy fell down on the ground.,There is one baseball bat near the girl.,kids having fun in the sun.,6.836628825982499e-07,1.0
9,115,115,203,9,Scene203_9.png,The dog is wearing a helmet.,The boy is wearing purple glasses.,The girl brought her cat.,The boy is wearing glasses,The dog is wearing a helmet,The cat is sitting next to the girl,happy family with dog running to the barbecue.,0.05211700077530819,0.0
10,118,118,203,4,Scene203_4.png,The boy is wearing a hat.,The girl is sitting next to the cat.,The dog is chasing the boy.,The boy talks to the dog.,The boy wears a pirate's hat.,The girl is happy to see the boy.,kids playing in the park vector art illustration.,1.006610828235864e-06,0.0
11,119,119,203,3,Scene203_3.png,The boy is wearing a helmet,The dog is biting the hat,The cat is next to the girl,The boy is wearing the hat.,The dog is holding the hat.,The girl is sitting next to the cat.,the boy is playing with dogs.,0.0037556136672782345,1.0
12,153,153,360,8,Scene360_8.png,A rocket is headed towards Mars.,The girl Throws the ball.,The boy will catch the ball.,The boy is very happy.,The girl is near the boy.,The girl s very happy.,happy children swinging on the swing set vector art illustration.,0.06426683486211236,0.0
13,157,157,360,6,Scene360_6.png,The girl is wearing purple glasses.,The boy threw a beach ball.,There is a rocket in the sky.,The girl and the boy play catch with the ball.,The girl has purple glasses.,The boy has black glasses.,mother and son having fun on the playground.,0.004042671907309475,1.0
14,158,158,360,4,Scene360_4.png,The boy and the girl are excited.,The cat and dog came to play.,The rocket ship is blasting off.,The boy and the girl look happy.,There is a cat and dog by the swings.,There is a rocket in the sky.,animals playing in the park vector art illustration.,0.007869979906188143,0.0
